Wavelength (nm),C60sorizon_n,C60sorizon_k
300,2.244806517,0.690074415
301,2.235967358,0.687507158
302,2.229165841,0.680363048
303,2.224001819,0.669837236
304,2.220075151,0.65696772
305,2.21698569,0.642648666
306,2.214333292,0.627643586
307,2.211717815,0.612596995
308,2.208739112,0.598045795
309,2.204997041,0.584429544
310,2.200091456,0.572100374
311,2.193622213,0.561332054
312,2.185189325,0.552328471
313,2.174589356,0.545231311
314,2.162199523,0.540127622
315,2.14850385,0.537056323
316,2.134056832,0.536014603
317,2.119606256,0.536963585
318,2.105931856,0.539833654
319,2.093430186,0.544529254
320,2.081521084,0.550933287
321,2.069471026,0.5589114
322,2.056548234,0.568315239
323,2.042459451,0.578986352
324,2.027926333,0.590758585
325,2.013813705,0.603461265
326,2.00098482,0.616921472
327,1.990044288,0.630966025
328,1.981052452,0.645423731
329,1.97400084,0.660126868
330,1.968880977,0.674912365
331,1.965684392,0.689623747
332,1.964402694,0.704111516
333,1.965035796,0.71647496
334,1.967598794,0.71747496
335,1.972108402,0.718234403
336,1.978581336,0.745877863
337,1.98703431,0.772372101
338,1.997483952,0.795888202
339,2.009941278,0.816393312
340,2.024408351,0.833886894
341,2.04088644,0.84839678
342,2.059364602,0.859975569
343,2.079210024,0.868697243
344,2.098916233,0.874654069
345,2.118343079,0.877953961
346,2.139350934,0.878717541
347,2.163924191,0.877076202
348,2.193113385,0.873169356
349,2.226657601,0.867142986
350,2.260801998,0.859147627
351,2.287722661,0.849336667
352,2.305012393,0.837864951
353,2.317025587,0.824887627
354,2.32851115,0.810558646
355,2.344092658,0.795030073
356,2.365017141,0.778450939
357,2.388855475,0.760966591
358,2.412988724,0.742717796
359,2.434692642,0.723840461
360,2.451233083,0.704465095
361,2.462009745,0.684715879
362,2.468506382,0.664711098
363,2.472293196,0.644562469
364,2.47494039,0.624374778
365,2.477952578,0.604246294
366,2.481641031,0.584268225
367,2.485276279,0.564524873
368,2.488093962,0.545093524
369,2.489329719,0.526044908
370,2.488263216,0.507442707
371,2.484846362,0.489344175
372,2.479555546,0.471799885
373,2.472881057,0.454854469
374,2.465313187,0.438546227
375,2.457342225,0.422907729
376,2.449458463,0.407965953
377,2.442121823,0.393742612
378,2.435423003,0.380254034
379,2.429206567,0.367512
380,2.423312602,0.355523834
381,2.4175812,0.344292304
382,2.411852447,0.333816509
383,2.405966435,0.324091759
384,2.399763251,0.315109865
385,2.393098767,0.306859612
386,2.385979656,0.299326965
387,2.37849632,0.292495398
388,2.370740059,0.286345827
389,2.362802173,0.280857294
390,2.354773961,0.276007073
391,2.346746722,0.271770743
392,2.338811757,0.268122713
393,2.331060364,0.265036073
394,2.323574103,0.262483356
395,2.316362294,0.260436058
396,2.309401773,0.258865288
397,2.30266922,0.257742071
398,2.296141317,0.257036886
399,2.289794745,0.256720674
400,2.283606185,0.256764052
401,2.277552317,0.257138179
402,2.271609823,0.257814908
403,2.265761287,0.258766004
404,2.260023733,0.259964418
405,2.254426635,0.261383503
