Wavelength (nm),PEOPTsorizon_n,PEOPTsorizon_k
300,1.78147803,0.176325368
301,1.785870586,0.174662272
302,1.789690355,0.172980876
303,1.792981621,0.171271151
304,1.795785895,0.169525351
305,1.798142043,0.167737774
306,1.800086421,0.165904537
307,1.801652993,0.16402331
308,1.802873454,0.16209319
309,1.803777345,0.160114484
310,1.804392165,0.158088544
311,1.804743476,0.156017627
312,1.804855005,0.153904751
313,1.804748748,0.151753552
314,1.804445056,0.149568203
315,1.803962738,0.14735328
316,1.803319137,0.14511368
317,1.802530221,0.142854536
318,1.801610664,0.14058114
319,1.800573919,0.138298865
320,1.799432296,0.136013143
321,1.79819703,0.133729328
322,1.796878352,0.131452762
323,1.795485552,0.129188637
324,1.794027042,0.126942028
325,1.792510415,0.124717815
326,1.790942502,0.122520681
327,1.789329425,0.120355102
328,1.78767665,0.118225291
329,1.785989038,0.116135257
330,1.784270885,0.114088689
331,1.782525973,0.112089077
332,1.780757612,0.110139598
333,1.778968676,0.108243169
334,1.777161643,0.106402438
335,1.775338634,0.104619811
336,1.773501442,0.102897406
337,1.771651568,0.101237094
338,1.769790251,0.099640504
339,1.767918495,0.098109033
340,1.766037098,0.096643829
341,1.764146675,0.095245863
342,1.762247686,0.093915851
343,1.760340455,0.092654358
344,1.758425191,0.091461742
345,1.756502009,0.090338205
346,1.75457095,0.089283775
347,1.752631992,0.088298364
348,1.750685073,0.087381742
349,1.7487301,0.08653353
350,1.746766967,0.085753284
351,1.744795562,0.08504047
352,1.742815783,0.084394429
353,1.740827548,0.083814451
354,1.7388308,0.083299781
355,1.736825522,0.082849604
356,1.734811739,0.082463049
357,1.732789527,0.082139249
358,1.730759021,0.081877286
359,1.728720417,0.081676254
360,1.726673979,0.081535217
361,1.724620039,0.081453256
362,1.722559007,0.081429465
363,1.720491367,0.081462956
364,1.718417683,0.081552847
365,1.7163386,0.081698287
366,1.714254842,0.081898469
367,1.712167216,0.082152605
368,1.710076612,0.082459952
369,1.707984001,0.082819794
370,1.705890435,0.083231485
