###Wavelength	PEDOT  	PEOPT  	C60  	
400	2944	37065	80665
401	2955	37561	80581
402	2967	38069	80592
403	2981	38588	80689
404	2992	39118	80862
405	3004	39659	81102
406	3015	40210	81402
407	3026	40772	81753
408	3037	41343	82147
409	3051	41924	82578
410	3062	42515	83037
411	3073	43114	83519
412	3084	43722	84017
413	3094	44338	84526
414	3108	44961	85040
415	3119	45592	85554
416	3130	46230	86064
417	3140	46874	86566
418	3151	47524	87056
419	3164	48179	87530
420	3175	48839	87986
421	3185	49504	88421
422	3195	50172	88832
423	3205	50843	89217
424	3216	51516	89575
425	3229	52192	89905
426	3239	52868	90204
427	3249	53545	90473
428	3259	54222	90710
429	3269	54898	90915
430	3282	55573	91089
431	3292	56246	91230
432	3302	56915	91339
433	3311	57581	91417
434	3321	58242	91463
435	3334	58899	91478
436	3343	59549	91464
437	3353	60193	91420
438	3363	60829	91348
439	3372	61458	91249
440	3381	62077	91123
441	3394	62686	90971
442	3403	63285	90796
443	3412	63873	90596
444	3422	64449	90374
445	3431	65013	90131
446	3443	65562	89868
447	3452	66098	89586
448	3461	66619	89285
449	3470	67124	88967
450	3479	67612	88632
451	3514	68084	88282
452	3550	68538	87917
453	3584	68973	87538
454	3618	69390	87145
455	3651	69787	86740
456	3684	70164	86323
457	3718	70520	85894
458	3751	70854	85454
459	3784	71167	85003
460	3816	71457	84541
461	3849	71724	84069
462	3881	71967	83586
463	3914	72187	83094
464	3946	72382	82591
465	3978	72553	82079
466	4013	72699	81556
467	4044	72819	81023
468	4076	72913	80479
469	4108	72982	79925
470	4139	73024	79360
471	4170	73039	78785
472	4201	73028	78197
473	4232	72990	77598
474	4263	72926	76987
475	4294	72834	76364
476	4324	72715	75728
477	4355	72568	75079
478	4385	72395	74417
479	4415	72194	73741
480	4448	71967	73052
481	4478	71712	72348
482	4508	71431	71629
483	4537	71122	70896
484	4567	70788	70147
485	4596	70427	69384
486	4626	70040	68605
487	4655	69627	67811
488	4684	69189	67002
489	4713	68726	66176
490	4742	68238	65336
491	4771	67726	64480
492	4799	67190	63609
493	4828	66631	62724
494	4859	66048	61823
495	4887	65444	60908
496	4915	64817	59979
497	4943	64169	59037
498	4971	63500	58081
499	4999	62811	57113
500	5027	62103	56133
501	5067	61375	55142
502	5109	60630	54141
503	5149	59866	53129
504	5191	59086	52109
505	5231	58290	51081
506	5270	57479	50046
507	5312	56652	49005
508	5351	55812	47958
509	5389	54959	46908
510	5431	54093	45854
511	5469	53215	44799
512	5510	52327	43743
513	5548	51429	42688
514	5586	50522	41634
515	5627	49606	40583
516	5665	48682	39537
517	5705	47752	38495
518	5742	46816	37460
519	5780	45875	36433
520	5819	44930	35415
521	5856	43981	34407
522	5893	43029	33410
523	5932	42075	32426
524	5969	41121	31456
525	6008	40166	30501
526	6044	39211	29561
527	6081	38258	28638
528	6119	37307	27734
529	6155	36359	26848
530	6191	35414	25982
531	6229	34474	25138
532	6264	33538	24314
533	6302	32608	23514
534	6337	31685	22736
535	6372	30769	21982
536	6410	29860	21252
537	6445	28960	20548
538	6482	28068	19868
539	6516	27186	19215
540	6551	26315	18587
541	6587	25454	17986
542	6622	24604	17412
543	6656	23766	16864
544	6692	22940	16343
545	6726	22126	15849
546	6762	21326	15381
547	6795	20540	14940
548	6829	19767	14525
549	6865	19009	14136
550	6898	18265	13772
551	6949	17536	13434
552	7000	16823	13120
553	7054	16125	12831
554	7104	15443	12565
555	7155	14777	12322
556	7205	14128	12101
557	7256	13494	11902
558	7306	12878	11723
559	7355	12278	11564
560	7407	11694	11424
561	7457	11128	11303
562	7506	10579	11198
563	7555	10046	11109
564	7604	9530	11036
565	7653	9032	10976
566	7702	8550	10930
567	7750	8085	10896
568	7801	7637	10873
569	7849	7206	10860
570	7897	6791	10856
571	7945	6392	10860
572	7992	6010	10871
573	8040	5644	10887
574	8087	5293	10909
575	8136	4958	10934
576	8183	4639	10962
577	8230	4335	10993
578	8277	4045	11025
579	8323	3770	11056
580	8370	3510	11088
581	8416	3263	11118
582	8462	3030	11145
583	8510	2810	11170
584	8555	2604	11192
585	8601	2410	11210
586	8646	2228	11222
587	8692	2058	11230
588	8737	1899	11232
589	8782	1752	11228
590	8828	1615	11218
591	8873	1489	11201
592	8917	1373	11177
593	8962	1266	11146
594	9006	1168	11107
595	9050	1079	11061
596	9094	998	11008
597	9140	926	10947
598	9183	860	10879
599	9227	802	10803
600	9270	751	10721
601	9313	705	10631
602	9356	666	10535
603	9399	632	10432
604	9441	604	10323
605	9486	580	10208
606	9528	560	10088
607	9571	545	9963
608	9613	533	9833
609	9655	524	9698
610	9697	518	9560
611	9738	515	9419
612	9782	515	9274
613	9823	516	9127
614	9865	519	8979
615	9906	524	8829
616	9947	529	8678
617	9988	536	8526
