###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###The vary thickness of PEOPT
###Wavelength	20(nm)	40(nm)	60(nm)	
400	23.102	20.838	21.330
401	23.265	20.827	21.153
402	23.415	20.814	20.976
403	23.542	20.793	20.797
404	23.690	20.795	20.653
405	23.846	20.809	20.525
406	24.072	20.883	20.425
407	24.261	20.938	20.325
408	24.477	21.019	20.259
409	24.674	21.093	20.188
410	24.893	21.194	20.149
411	25.063	21.263	20.096
412	25.281	21.378	20.079
413	25.486	21.491	20.065
414	25.613	21.537	20.008
415	25.771	21.614	19.976
416	25.902	21.681	19.935
417	26.055	21.760	19.914
418	26.211	21.845	19.900
419	26.371	21.935	19.894
420	26.496	22.008	19.875
421	26.611	22.077	19.856
422	26.704	22.123	19.826
423	26.761	22.155	19.786
424	26.849	22.220	19.775
425	26.946	22.270	19.754
426	27.007	22.293	19.711
427	27.062	22.325	19.677
428	27.103	22.337	19.630
429	27.135	22.349	19.587
430	27.168	22.404	19.587
431	27.204	22.427	19.560
432	27.207	22.395	19.486
433	27.207	22.400	19.451
434	27.161	22.378	19.399
435	27.140	22.382	19.373
436	27.125	22.346	19.306
437	27.110	22.305	19.235
438	27.082	22.281	19.186
439	27.045	22.265	19.151
440	26.998	22.254	19.126
441	26.952	22.186	19.038
442	26.906	22.124	18.958
443	26.877	22.087	18.903
444	26.821	22.045	18.853
445	26.755	22.001	18.803
446	26.703	21.949	18.741
447	26.651	21.894	18.675
448	26.566	21.813	18.590
449	26.489	21.766	18.546
450	26.421	21.706	18.484
451	26.364	21.631	18.398
452	26.275	21.566	18.338
453	26.170	21.489	18.272
454	26.092	21.424	18.210
455	26.013	21.344	18.129
456	25.937	21.263	18.045
457	25.808	21.176	17.978
458	25.677	21.084	17.906
459	25.552	20.994	17.833
460	25.428	20.889	17.742
461	25.325	20.798	17.661
462	25.193	20.680	17.556
463	25.089	20.584	17.470
464	24.983	20.488	17.384
465	24.860	20.391	17.306
466	24.727	20.289	17.230
467	24.587	20.187	17.158
468	24.442	20.059	17.050
469	24.303	19.935	16.944
470	24.181	19.827	16.853
471	24.084	19.745	16.787
472	23.955	19.637	16.701
473	23.806	19.523	16.622
474	23.659	19.409	16.540
475	23.516	19.296	16.457
476	23.364	19.166	16.348
477	23.221	19.053	16.263
478	23.042	18.927	16.186
479	22.862	18.780	16.076
480	22.712	18.649	15.977
481	22.529	18.500	15.873
482	22.353	18.348	15.760
483	22.194	18.219	15.663
484	22.039	18.092	15.565
485	21.867	17.953	15.460
486	21.693	17.817	15.365
487	21.487	17.646	15.238
488	21.325	17.512	15.143
489	21.136	17.353	15.023
490	20.940	17.183	14.888
491	20.766	17.031	14.766
492	20.581	16.872	14.639
493	20.388	16.706	14.508
494	20.160	16.513	14.358
495	19.954	16.342	14.226
496	19.746	16.169	14.090
497	19.514	15.975	13.934
498	19.304	15.796	13.789
499	19.095	15.614	13.637
500	18.876	15.421	13.478
501	18.657	15.230	13.316
502	18.424	15.027	13.141
503	18.193	14.825	12.970
504	17.960	14.618	12.795
505	17.725	14.412	12.618
506	17.485	14.208	12.445
507	17.225	13.989	12.258
508	16.972	13.771	12.074
509	16.722	13.561	11.894
510	16.480	13.354	11.711
511	16.229	13.131	11.516
512	15.977	12.905	11.316
513	15.724	12.684	11.120
514	15.457	12.453	10.913
515	15.198	12.231	10.713
516	14.939	12.005	10.510
517	14.675	11.778	10.307
518	14.403	11.551	10.105
519	14.115	11.308	9.887
520	13.839	11.075	9.678
521	13.565	10.842	9.466
522	13.292	10.607	9.250
523	13.005	10.361	9.024
524	12.729	10.125	8.806
525	12.455	9.888	8.586
526	12.194	9.660	8.372
527	11.919	9.425	8.153
528	11.633	9.182	7.927
529	11.355	8.951	7.715
530	11.065	8.714	7.498
531	10.789	8.489	7.293
532	10.516	8.266	7.089
533	10.252	8.045	6.884
534	9.995	7.829	6.682
535	9.738	7.616	6.484
536	9.485	7.407	6.290
537	9.231	7.197	6.095
538	8.987	6.996	5.910
539	8.750	6.801	5.729
540	8.518	6.612	5.553
541	8.284	6.426	5.385
542	8.054	6.245	5.222
543	7.833	6.070	5.063
544	7.616	5.899	4.908
545	7.403	5.732	4.759
546	7.189	5.566	4.610
547	6.990	5.411	4.471
548	6.804	5.263	4.336
549	6.634	5.123	4.204
550	6.460	4.981	4.071
551	6.301	4.852	3.948
552	6.137	4.725	3.834
553	5.974	4.602	3.726
554	5.820	4.486	3.623
555	5.673	4.376	3.526
556	5.535	4.270	3.431
557	5.406	4.171	3.342
558	5.287	4.080	3.258
559	5.168	3.991	3.177
560	5.059	3.909	3.103
561	4.954	3.829	3.032
562	4.859	3.759	2.967
563	4.764	3.690	2.905
564	4.677	3.627	2.851
565	4.593	3.569	2.800
566	4.514	3.514	2.752
567	4.442	3.464	2.707
568	4.373	3.417	2.663
569	4.315	3.378	2.626
570	4.261	3.341	2.592
571	4.208	3.305	2.559
572	4.154	3.271	2.529
573	4.101	3.238	2.501
574	4.054	3.210	2.477
575	4.013	3.186	2.454
576	3.976	3.164	2.432
577	3.941	3.143	2.412
578	3.910	3.126	2.395
579	3.879	3.111	2.379
580	3.850	3.096	2.364
581	3.822	3.083	2.351
582	3.796	3.073	2.339
583	3.770	3.063	2.329
584	3.744	3.052	2.317
585	3.718	3.040	2.306
586	3.692	3.029	2.295
587	3.663	3.017	2.286
588	3.633	3.006	2.278
589	3.602	2.994	2.269
590	3.567	2.977	2.257
591	3.540	2.967	2.249
592	3.507	2.952	2.239
593	3.474	2.937	2.228
594	3.440	2.922	2.217
595	3.408	2.907	2.205
596	3.371	2.887	2.189
597	3.336	2.871	2.177
598	3.299	2.853	2.164
599	3.262	2.834	2.149
600	3.222	2.815	2.136
601	3.181	2.795	2.123
602	3.138	2.769	2.105
603	3.093	2.742	2.087
604	3.047	2.714	2.068
605	2.998	2.686	2.050
606	2.951	2.659	2.032
607	2.908	2.633	2.014
608	2.857	2.601	1.992
609	2.812	2.574	1.974
610	2.762	2.544	1.953
611	2.713	2.512	1.931
612	2.664	2.479	1.908
613	2.613	2.445	1.886
614	2.560	2.407	1.860
615	2.512	2.371	1.835
616	2.457	2.332	1.810
617	2.404	2.295	1.787
618	2.359	2.260	1.760
619	2.311	2.225	1.735
620	2.261	2.191	1.713
621	2.211	2.156	1.691
622	2.163	2.121	1.669
623	2.115	2.087	1.647
624	2.071	2.053	1.623
625	2.026	2.018	1.599
626	1.981	1.983	1.577
627	1.936	1.948	1.555
628	1.892	1.914	1.533
629	1.853	1.884	1.514
630	1.813	1.851	1.492
631	1.775	1.820	1.471
632	1.737	1.789	1.451
633	1.700	1.759	1.430
634	1.665	1.731	1.411
635	1.630	1.704	1.394
636	1.596	1.677	1.376
637	1.564	1.653	1.362
638	1.530	1.626	1.346
639	1.497	1.600	1.330
640	1.464	1.573	1.314
641	1.433	1.547	1.297
642	1.404	1.521	1.280
643	1.374	1.496	1.263
644	1.344	1.470	1.247
645	1.315	1.444	1.231
646	1.287	1.420	1.215
647	1.261	1.396	1.199
648	1.231	1.370	1.183
649	1.205	1.349	1.171
650	1.181	1.330	1.158
651	1.156	1.309	1.145
652	1.131	1.286	1.129
653	1.105	1.261	1.113
654	1.079	1.235	1.095
655	1.054	1.211	1.079
656	1.029	1.188	1.062
657	1.003	1.162	1.044
658	0.978	1.137	1.026
659	0.951	1.110	1.008
660	0.923	1.083	0.988
661	0.901	1.061	0.972
662	0.879	1.039	0.956
663	0.856	1.015	0.937
664	0.831	0.988	0.917
665	0.806	0.961	0.896
666	0.780	0.933	0.873
667	0.755	0.904	0.851
668	0.729	0.875	0.827
669	0.702	0.845	0.801
670	0.675	0.814	0.775
671	0.647	0.783	0.749
672	0.620	0.753	0.723
673	0.592	0.721	0.696
674	0.563	0.687	0.667
675	0.535	0.655	0.639
676	0.507	0.622	0.609
677	0.479	0.589	0.580
678	0.451	0.556	0.550
679	0.423	0.523	0.519
680	0.395	0.489	0.488
681	0.368	0.456	0.457
682	0.341	0.424	0.426
683	0.315	0.392	0.396
684	0.290	0.361	0.366
685	0.266	0.332	0.337
686	0.242	0.302	0.309
687	0.219	0.274	0.281
688	0.197	0.247	0.254
689	0.176	0.221	0.229
690	0.157	0.198	0.206
691	0.139	0.175	0.183
692	0.122	0.154	0.162
693	0.107	0.135	0.142
694	0.093	0.117	0.124
695	0.080	0.102	0.108
696	0.069	0.088	0.093
697	0.060	0.076	0.081
698	0.052	0.066	0.071
699	0.046	0.058	0.062
700	0.041	0.052	0.056
