###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###The thickness of C60 is 31nm
###Wavelength	PEOPTcomponent	C60component	totallICPE
400	2.923	18.033	20.949
401	2.979	17.971	20.949
402	3.032	17.908	20.949
403	3.082	17.837	20.949
404	3.133	17.786	20.949
405	3.184	17.747	20.949
406	3.244	17.766	20.949
407	3.300	17.767	20.949
408	3.358	17.789	20.949
409	3.414	17.806	20.949
410	3.473	17.844	20.949
411	3.525	17.854	20.949
412	3.585	17.904	20.949
413	3.644	17.952	20.949
414	3.690	17.942	20.949
415	3.743	17.960	20.949
416	3.793	17.967	20.949
417	3.845	17.985	20.949
418	3.899	18.006	20.949
419	3.955	18.032	20.949
420	4.007	18.040	20.949
421	4.059	18.043	20.949
422	4.108	18.025	20.949
423	4.154	17.992	20.949
424	4.208	17.984	20.949
425	4.260	17.966	20.949
426	4.308	17.924	20.949
427	4.359	17.886	20.949
428	4.407	17.831	20.949
429	4.455	17.774	20.949
430	4.510	17.742	20.949
431	4.561	17.691	20.949
432	4.602	17.602	20.949
433	4.650	17.534	20.949
434	4.691	17.443	20.949
435	4.737	17.372	20.949
436	4.777	17.280	20.949
437	4.816	17.186	20.949
438	4.856	17.101	20.949
439	4.898	17.019	20.949
440	4.939	16.939	20.949
441	4.971	16.828	20.949
442	5.003	16.722	20.949
443	5.040	16.633	20.949
444	5.075	16.537	20.949
445	5.108	16.438	20.949
446	5.141	16.339	20.949
447	5.173	16.239	20.949
448	5.198	16.119	20.949
449	5.229	16.019	20.949
450	5.258	15.914	20.949
451	5.285	15.805	20.949
452	5.311	15.695	20.949
453	5.334	15.576	20.949
454	5.360	15.469	20.949
455	5.383	15.355	20.949
456	5.406	15.242	20.949
457	5.424	15.116	20.949
458	5.441	14.988	20.949
459	5.457	14.863	20.949
460	5.471	14.731	20.949
461	5.488	14.611	20.949
462	5.497	14.474	20.949
463	5.512	14.354	20.949
464	5.526	14.234	20.949
465	5.537	14.112	20.949
466	5.546	13.987	20.949
467	5.554	13.860	20.949
468	5.556	13.724	20.949
469	5.558	13.591	20.949
470	5.563	13.471	20.949
471	5.575	13.369	20.949
472	5.578	13.249	20.949
473	5.578	13.125	20.949
474	5.576	13.002	20.949
475	5.575	12.882	20.949
476	5.569	12.755	20.949
477	5.566	12.638	20.949
478	5.556	12.509	20.949
479	5.542	12.371	20.949
480	5.532	12.248	20.949
481	5.516	12.111	20.949
482	5.498	11.976	20.949
483	5.486	11.855	20.949
484	5.475	11.737	20.949
485	5.459	11.612	20.949
486	5.443	11.488	20.949
487	5.417	11.343	20.949
488	5.401	11.224	20.949
489	5.377	11.089	20.949
490	5.351	10.949	20.949
491	5.330	10.822	20.949
492	5.305	10.690	20.949
493	5.279	10.554	20.949
494	5.243	10.401	20.949
495	5.214	10.262	20.949
496	5.184	10.123	20.949
497	5.147	9.970	20.949
498	5.115	9.829	20.949
499	5.082	9.687	20.949
500	5.045	9.538	20.949
501	5.009	9.392	20.949
502	4.969	9.239	20.949
503	4.928	9.087	20.949
504	4.885	8.933	20.949
505	4.842	8.780	20.949
506	4.799	8.628	20.949
507	4.750	8.468	20.949
508	4.702	8.310	20.949
509	4.655	8.156	20.949
510	4.609	8.006	20.949
511	4.557	7.849	20.949
512	4.504	7.691	20.949
513	4.452	7.535	20.949
514	4.396	7.375	20.949
515	4.342	7.219	20.949
516	4.287	7.063	20.949
517	4.230	6.907	20.949
518	4.172	6.750	20.949
519	4.109	6.584	20.949
520	4.048	6.425	20.949
521	3.987	6.267	20.949
522	3.925	6.110	20.949
523	3.858	5.946	20.949
524	3.794	5.789	20.949
525	3.729	5.632	20.949
526	3.667	5.482	20.949
527	3.601	5.328	20.949
528	3.530	5.171	20.949
529	3.463	5.022	20.949
530	3.391	4.870	20.949
531	3.321	4.726	20.949
532	3.252	4.585	20.949
533	3.182	4.448	20.949
534	3.112	4.316	20.949
535	3.041	4.186	20.949
536	2.970	4.061	20.949
537	2.897	3.937	20.949
538	2.826	3.821	20.949
539	2.755	3.708	20.949
540	2.684	3.601	20.949
541	2.613	3.497	20.949
542	2.541	3.396	20.949
543	2.470	3.302	20.949
544	2.399	3.211	20.949
545	2.328	3.123	20.949
546	2.255	3.038	20.949
547	2.185	2.961	20.949
548	2.117	2.889	20.949
549	2.050	2.825	20.949
550	1.981	2.761	20.949
551	1.916	2.705	20.949
552	1.849	2.651	20.949
553	1.782	2.600	20.949
554	1.716	2.555	20.949
555	1.651	2.514	20.949
556	1.587	2.477	20.949
557	1.525	2.445	20.949
558	1.464	2.419	20.949
559	1.403	2.394	20.949
560	1.344	2.374	20.949
561	1.285	2.356	20.949
562	1.229	2.345	20.949
563	1.172	2.334	20.949
564	1.118	2.327	20.949
565	1.065	2.323	20.949
566	1.013	2.321	20.949
567	0.962	2.322	20.949
568	0.913	2.325	20.949
569	0.866	2.333	20.949
570	0.821	2.342	20.949
571	0.776	2.351	20.949
572	0.732	2.360	20.949
573	0.690	2.369	20.949
574	0.649	2.380	20.949
575	0.611	2.394	20.949
576	0.574	2.408	20.949
577	0.538	2.422	20.949
578	0.504	2.438	20.949
579	0.472	2.454	20.949
580	0.441	2.468	20.949
581	0.412	2.484	20.949
582	0.384	2.499	20.949
583	0.357	2.513	20.949
584	0.332	2.526	20.949
585	0.308	2.537	20.949
586	0.286	2.546	20.949
587	0.265	2.553	20.949
588	0.245	2.560	20.949
589	0.227	2.563	20.949
590	0.209	2.562	20.949
591	0.193	2.565	20.949
592	0.178	2.563	20.949
593	0.165	2.560	20.949
594	0.152	2.555	20.949
595	0.141	2.550	20.949
596	0.131	2.539	20.949
597	0.121	2.530	20.949
598	0.113	2.519	20.949
599	0.106	2.506	20.949
600	0.099	2.491	20.949
601	0.093	2.475	20.949
602	0.088	2.453	20.949
603	0.084	2.430	20.949
604	0.080	2.404	20.949
605	0.077	2.378	20.949
