###|E|^2 at PEOPT/C60 interface
###Thickness_of_C60_layer(nm)	PEOPT =40nm	PEOPT =60nm
10	0.39	0.32
11	0.42	0.34
12	0.45	0.36
13	0.48	0.39
14	0.51	0.41
15	0.54	0.43
16	0.57	0.46
17	0.60	0.48
18	0.63	0.50
19	0.65	0.53
20	0.68	0.55
21	0.71	0.57
22	0.73	0.59
23	0.75	0.61
24	0.77	0.63
25	0.79	0.65
26	0.81	0.67
27	0.83	0.68
28	0.84	0.70
29	0.85	0.71
30	0.86	0.72
31	0.87	0.73
32	0.88	0.74
33	0.88	0.75
34	0.89	0.75
35	0.89	0.75
36	0.89	0.76
37	0.88	0.76
38	0.88	0.75
39	0.87	0.75
40	0.86	0.75
41	0.85	0.74
42	0.84	0.73
43	0.82	0.72
44	0.81	0.71
45	0.79	0.70
46	0.78	0.69
47	0.76	0.68
48	0.74	0.66
49	0.72	0.64
50	0.70	0.63
51	0.68	0.61
52	0.65	0.59
53	0.63	0.57
54	0.61	0.55
55	0.59	0.53
56	0.56	0.51
57	0.54	0.49
58	0.52	0.47
59	0.49	0.45
60	0.47	0.43
61	0.45	0.41
62	0.43	0.39
63	0.41	0.37
64	0.38	0.35
65	0.36	0.33
66	0.34	0.31
67	0.32	0.30
68	0.31	0.28
69	0.29	0.26
70	0.27	0.25
71	0.25	0.23
72	0.24	0.22
73	0.22	0.20
74	0.21	0.19
75	0.20	0.18
76	0.18	0.16
77	0.17	0.15
78	0.16	0.14
79	0.15	0.14
80	0.14	0.13
81	0.13	0.12
82	0.13	0.11
83	0.12	0.11
84	0.12	0.10
85	0.11	0.10
86	0.11	0.10
87	0.11	0.09
88	0.11	0.09
89	0.10	0.09
90	0.11	0.09
91	0.11	0.09
92	0.11	0.09
93	0.11	0.10
94	0.12	0.10
95	0.12	0.10
96	0.12	0.11
97	0.13	0.11
98	0.14	0.12
99	0.14	0.12
100	0.15	0.13
101	0.16	0.14
102	0.17	0.14
103	0.18	0.15
104	0.19	0.16
105	0.20	0.17
106	0.21	0.18
107	0.22	0.19
108	0.24	0.20
109	0.25	0.21
110	0.26	0.22
111	0.27	0.23
112	0.28	0.24
113	0.30	0.25
114	0.31	0.26
115	0.32	0.27
116	0.33	0.28
117	0.35	0.29
118	0.36	0.30
119	0.37	0.31
120	0.38	0.32
121	0.39	0.33
122	0.40	0.34
123	0.42	0.35
124	0.43	0.36
125	0.43	0.37
126	0.44	0.38
127	0.45	0.38
128	0.46	0.39
129	0.47	0.40
130	0.47	0.40
131	0.48	0.41
132	0.48	0.41
133	0.49	0.42
134	0.49	0.42
135	0.50	0.42
136	0.50	0.43
137	0.50	0.43
138	0.50	0.43
139	0.50	0.43
140	0.50	0.43
141	0.50	0.43
142	0.50	0.43
143	0.49	0.43
144	0.49	0.43
145	0.49	0.42
146	0.48	0.42
147	0.48	0.42
148	0.47	0.41
149	0.47	0.41
150	0.46	0.40
151	0.45	0.40
152	0.45	0.39
153	0.44	0.39
154	0.43	0.38
155	0.42	0.37
156	0.41	0.37
157	0.41	0.36
158	0.40	0.35
159	0.39	0.34
160	0.38	0.34
161	0.37	0.33
162	0.36	0.32
163	0.35	0.31
164	0.34	0.31
165	0.34	0.30
166	0.33	0.29
167	0.32	0.28
168	0.31	0.28
169	0.30	0.27
170	0.29	0.26
171	0.29	0.25
172	0.28	0.25
173	0.27	0.24
174	0.27	0.23
175	0.26	0.23
176	0.25	0.22
177	0.25	0.22
178	0.24	0.21
179	0.24	0.21
180	0.23	0.20
181	0.23	0.20
182	0.22	0.20
183	0.22	0.19
184	0.22	0.19
185	0.21	0.19
186	0.21	0.18
187	0.21	0.18
188	0.21	0.18
189	0.21	0.18
190	0.21	0.18
191	0.21	0.18
192	0.21	0.18
193	0.21	0.18
194	0.21	0.18
195	0.21	0.18
196	0.21	0.18
197	0.21	0.18
198	0.21	0.18
199	0.22	0.19
200	0.22	0.19
201	0.22	0.19
202	0.23	0.19
203	0.23	0.20
204	0.23	0.20
205	0.24	0.20
206	0.24	0.21
207	0.25	0.21
208	0.25	0.22
209	0.26	0.22
210	0.26	0.22
211	0.27	0.23
212	0.27	0.23
213	0.28	0.24
214	0.28	0.24
215	0.29	0.25
216	0.29	0.25
217	0.30	0.26
218	0.30	0.26
219	0.31	0.26
220	0.31	0.27
221	0.32	0.27
222	0.32	0.28
223	0.33	0.28
224	0.33	0.29
225	0.34	0.29
226	0.34	0.29
227	0.35	0.30
228	0.35	0.30
229	0.35	0.30
230	0.36	0.31
231	0.36	0.31
232	0.36	0.31
233	0.37	0.32
234	0.37	0.32
235	0.37	0.32
236	0.37	0.32
237	0.37	0.32
238	0.38	0.32
239	0.38	0.33
240	0.38	0.33
241	0.38	0.33
242	0.38	0.33
243	0.38	0.33
244	0.38	0.33
245	0.38	0.33
246	0.38	0.33
247	0.38	0.33
248	0.37	0.32
249	0.37	0.32
250	0.37	0.32
251	0.37	0.32
252	0.37	0.32
253	0.36	0.32
254	0.36	0.31
255	0.36	0.31
256	0.35	0.31
257	0.35	0.31
258	0.35	0.30
259	0.35	0.30
260	0.34	0.30
261	0.34	0.30
262	0.33	0.29
263	0.33	0.29
264	0.33	0.29
265	0.32	0.28
266	0.32	0.28
267	0.32	0.28
268	0.31	0.27
269	0.31	0.27
270	0.31	0.27
271	0.30	0.27
272	0.30	0.26
273	0.30	0.26
274	0.29	0.26
275	0.29	0.25
276	0.29	0.25
277	0.28	0.25
278	0.28	0.25
279	0.28	0.24
280	0.28	0.24
281	0.27	0.24
282	0.27	0.24
283	0.27	0.24
284	0.27	0.23
285	0.27	0.23
286	0.27	0.23
287	0.26	0.23
288	0.26	0.23
289	0.26	0.23
290	0.26	0.23
291	0.26	0.23
292	0.26	0.23
293	0.26	0.23
294	0.26	0.23
295	0.26	0.23
296	0.26	0.23
297	0.26	0.23
298	0.26	0.23
299	0.26	0.23
300	0.26	0.23
