###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###The vary thickness of C60
###Wavelength	20(nm)	40(nm)	
400	0.00722	0.00828
401	0.00724	0.00829
402	0.00726	0.00831
403	0.00727	0.00832
404	0.00728	0.00834
405	0.00730	0.00837
406	0.00735	0.00842
407	0.00738	0.00846
408	0.00742	0.00851
409	0.00745	0.00857
410	0.00750	0.00863
411	0.00753	0.00868
412	0.00757	0.00875
413	0.00761	0.00882
414	0.00763	0.00886
415	0.00766	0.00891
416	0.00768	0.00897
417	0.00771	0.00902
418	0.00774	0.00908
419	0.00777	0.00914
420	0.00779	0.00920
421	0.00781	0.00925
422	0.00783	0.00930
423	0.00783	0.00934
424	0.00783	0.00940
425	0.00785	0.00945
426	0.00785	0.00949
427	0.00785	0.00953
428	0.00785	0.00957
429	0.00784	0.00960
430	0.00783	0.00966
431	0.00783	0.00970
432	0.00782	0.00972
433	0.00780	0.00976
434	0.00777	0.00978
435	0.00775	0.00982
436	0.00774	0.00983
437	0.00773	0.00985
438	0.00771	0.00987
439	0.00769	0.00989
440	0.00766	0.00992
441	0.00764	0.00992
442	0.00763	0.00992
443	0.00761	0.00994
444	0.00759	0.00995
445	0.00756	0.00996
446	0.00754	0.00997
447	0.00752	0.00998
448	0.00750	0.00997
449	0.00747	0.00998
450	0.00745	0.00999
451	0.00743	0.00998
452	0.00740	0.00998
453	0.00737	0.00998
454	0.00734	0.00998
455	0.00732	0.00998
456	0.00729	0.00997
457	0.00725	0.00996
458	0.00722	0.00995
459	0.00718	0.00995
460	0.00714	0.00993
461	0.00711	0.00992
462	0.00708	0.00989
463	0.00705	0.00988
464	0.00702	0.00986
465	0.00699	0.00985
466	0.00695	0.00983
467	0.00691	0.00982
468	0.00687	0.00979
469	0.00684	0.00976
470	0.00681	0.00973
471	0.00679	0.00972
472	0.00675	0.00970
473	0.00672	0.00968
474	0.00668	0.00965
475	0.00664	0.00963
476	0.00661	0.00959
477	0.00657	0.00957
478	0.00653	0.00954
479	0.00648	0.00949
480	0.00645	0.00946
481	0.00640	0.00941
482	0.00636	0.00936
483	0.00632	0.00933
484	0.00629	0.00929
485	0.00625	0.00925
486	0.00620	0.00920
487	0.00615	0.00914
488	0.00612	0.00910
489	0.00607	0.00905
490	0.00602	0.00898
491	0.00598	0.00893
492	0.00594	0.00887
493	0.00589	0.00881
494	0.00583	0.00873
495	0.00578	0.00867
496	0.00573	0.00860
497	0.00567	0.00852
498	0.00562	0.00845
499	0.00557	0.00838
500	0.00551	0.00830
501	0.00546	0.00821
502	0.00540	0.00812
503	0.00534	0.00804
504	0.00528	0.00794
505	0.00522	0.00785
506	0.00516	0.00776
507	0.00509	0.00766
508	0.00502	0.00756
509	0.00495	0.00747
510	0.00489	0.00737
