###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###Wavelength is from 400  to 700
###11nm PEOPT and 35nm C60 can construct the optimal soalr cell
The intergarl of ICPE is 3621.157
###The thickness of PEOPT	The thickness of C60	The total ICPE
5	5	397.38
8	5	467.83
11	5	522.97
14	5	561.92
17	5	587.14
20	5	601.72
23	5	608.33
26	5	608.93
29	5	604.94
32	5	597.36
35	5	586.93
38	5	574.26
41	5	559.87
44	5	544.23
47	5	527.74
50	5	510.78
53	5	493.68
56	5	476.70
59	5	460.09
62	5	444.03
65	5	428.66
68	5	414.08
71	5	400.38
74	5	387.60
77	5	375.76
80	5	364.87
83	5	354.92
86	5	345.91
89	5	337.79
92	5	330.53
95	5	324.11
98	5	318.47
101	5	313.57
5	8	687.06
8	8	777.83
11	8	846.04
14	8	891.76
17	8	918.92
20	8	931.97
23	8	934.51
26	8	929.20
29	8	917.91
32	8	902.03
35	8	882.63
38	8	860.57
41	8	836.60
44	8	811.39
47	8	785.48
50	8	759.39
53	8	733.51
56	8	708.21
59	8	683.75
62	8	660.34
65	8	638.15
68	8	617.28
71	8	597.81
74	8	579.77
77	8	563.17
80	8	548.00
83	8	534.24
86	8	521.86
89	8	510.79
92	8	500.98
95	8	492.38
98	8	484.90
101	8	478.49
5	11	1035.45
8	11	1146.25
11	11	1225.69
14	11	1275.26
17	11	1300.87
20	11	1308.62
23	11	1303.32
26	11	1288.46
29	11	1266.54
32	11	1239.39
35	11	1208.43
38	11	1174.80
41	11	1139.47
44	11	1103.25
47	11	1066.83
50	11	1030.77
53	11	995.55
56	11	961.53
59	11	929.00
62	11	898.17
65	11	869.19
68	11	842.15
71	11	817.11
74	11	794.07
77	11	773.02
80	11	753.93
83	11	736.75
86	11	721.40
89	11	707.80
92	11	695.88
95	11	685.52
98	11	676.62
101	11	669.07
5	14	1426.45
8	14	1554.78
11	14	1641.68
14	14	1690.71
17	14	1710.28
20	14	1708.47
23	14	1691.49
26	14	1663.79
29	14	1628.50
32	14	1587.92
35	14	1543.79
38	14	1497.48
41	14	1450.08
44	14	1402.52
47	14	1355.52
50	14	1309.68
53	14	1265.47
56	14	1223.24
59	14	1183.25
62	14	1145.69
65	14	1110.66
68	14	1078.23
71	14	1048.41
74	14	1021.18
77	14	996.49
80	14	974.27
83	14	954.43
86	14	936.87
89	14	921.47
92	14	908.10
95	14	896.61
98	14	886.85
101	14	878.66
5	17	1838.83
8	17	1979.98
11	17	2069.08
14	17	2112.46
17	17	2121.40
20	17	2106.20
23	17	2074.54
26	17	2031.79
29	17	1981.69
32	17	1926.88
35	17	1869.33
38	17	1810.52
41	17	1751.61
44	17	1693.51
47	17	1636.96
50	17	1582.50
53	17	1530.54
56	17	1481.40
59	17	1435.28
62	17	1392.31
65	17	1352.56
68	17	1316.02
71	17	1282.68
74	17	1252.47
77	17	1225.30
80	17	1201.05
83	17	1179.60
86	17	1160.79
89	17	1144.45
92	17	1130.40
95	17	1118.45
98	17	1108.38
101	17	1099.97
5	20	2247.82
8	20	2395.60
11	20	2481.14
14	20	2514.05
17	20	2508.75
20	20	2477.71
23	20	2429.95
26	20	2371.63
29	20	2306.91
32	20	2238.63
35	20	2168.84
38	20	2099.02
41	20	2030.30
44	20	1963.52
47	20	1899.32
50	20	1838.17
53	20	1780.41
56	20	1726.26
59	20	1675.85
62	20	1629.25
65	20	1586.47
68	20	1547.46
71	20	1512.13
74	20	1480.38
77	20	1452.06
80	20	1427.01
83	20	1405.04
86	20	1385.95
89	20	1369.51
92	20	1355.49
95	20	1343.61
98	20	1333.59
101	20	1325.14
5	23	2627.81
8	23	2775.87
11	23	2852.80
14	23	2871.84
17	23	2850.43
20	23	2802.97
23	23	2739.58
26	23	2666.93
29	23	2589.36
32	23	2509.76
35	23	2430.11
38	23	2351.79
41	23	2275.80
44	23	2202.91
47	23	2133.59
50	23	2068.20
53	23	2006.98
56	23	1950.05
59	23	1897.49
62	23	1849.26
65	23	1805.33
68	23	1765.57
71	23	1729.86
74	23	1698.03
77	23	1669.87
80	23	1645.16
83	23	1623.67
86	23	1605.11
89	23	1589.21
92	23	1575.64
95	23	1564.06
98	23	1554.13
101	23	1545.47
5	26	2955.56
8	26	3098.07
11	26	3162.91
14	26	3166.76
17	26	3129.59
20	26	3067.28
23	26	2990.60
26	26	2906.42
29	26	2819.10
32	26	2731.40
35	26	2645.12
38	26	2561.49
41	26	2481.33
44	26	2405.20
47	26	2333.49
50	26	2266.42
53	26	2204.12
56	26	2146.66
59	26	2094.09
62	26	2046.22
65	26	2002.95
68	26	1964.10
71	26	1929.47
74	26	1898.84
77	26	1871.94
80	26	1848.48
83	26	1828.15
86	26	1810.62
89	26	1795.51
92	26	1782.44
95	26	1771.00
98	26	1760.78
101	26	1751.36
5	29	3213.15
8	29	3346.05
11	29	3397.35
14	29	3386.69
17	29	3335.93
20	29	3261.82
23	29	3175.39
26	29	3083.46
29	29	2990.18
32	29	2898.08
35	29	2808.74
38	29	2723.18
41	29	2642.02
44	29	2565.68
47	29	2494.38
50	29	2428.25
53	29	2367.31
56	29	2311.52
59	29	2260.76
62	29	2214.90
65	29	2173.83
68	29	2137.24
71	29	2104.85
74	29	2076.36
77	29	2051.44
80	29	2029.74
83	29	2010.86
86	29	1994.40
89	29	1979.92
92	29	1966.99
95	29	1955.15
98	29	1943.95
101	29	1932.96
5	32	3390.73
8	32	3511.73
11	32	3549.83
14	32	3526.90
17	32	3465.94
20	32	3384.00
23	32	3291.97
26	32	3196.39
29	32	3101.09
32	32	3008.31
35	32	2919.39
38	32	2835.09
41	32	2755.88
44	32	2682.01
47	32	2613.59
50	32	2550.62
53	32	2493.04
56	32	2440.71
59	32	2393.47
62	32	2351.08
65	32	2313.27
68	32	2279.76
71	32	2250.32
74	32	2224.46
77	32	2201.80
80	32	2181.89
83	32	2164.30
86	32	2148.56
89	32	2134.20
92	32	2120.75
95	32	2107.74
98	32	2094.75
101	32	2081.38
5	35	3486.42
8	35	3594.69
11	35	3621.16
14	35	3589.10
17	35	3521.86
20	35	3436.26
23	35	3342.76
26	35	3247.44
29	35	3153.76
32	35	3063.64
35	35	2978.13
38	35	2897.83
41	35	2823.02
44	35	2753.83
47	35	2690.23
50	35	2632.15
53	35	2579.44
56	35	2531.87
59	35	2489.21
62	35	2451.16
65	35	2417.38
68	35	2387.51
71	35	2361.13
74	35	2337.84
77	35	2317.26
80	35	2298.81
83	35	2282.01
86	35	2266.37
89	35	2251.43
92	35	2236.72
95	35	2221.82
98	35	2206.38
101	35	2190.06
5	38	3504.94
8	38	3600.70
11	38	3617.73
14	38	3579.91
17	38	3510.22
20	38	3424.80
23	38	3333.46
26	38	3241.74
29	38	3152.68
32	38	3067.87
35	38	2988.16
38	38	2913.94
41	38	2845.36
44	38	2782.42
47	38	2725.02
50	38	2672.97
53	38	2626.06
56	38	2584.00
59	38	2546.47
62	38	2513.11
65	38	2483.51
68	38	2457.25
71	38	2433.86
74	38	2412.87
77	38	2393.78
80	38	2376.12
83	38	2359.46
86	38	2343.27
89	38	2327.10
92	38	2310.56
95	38	2293.32
98	38	2275.09
101	38	2255.68
5	41	3455.62
8	41	3539.65
11	41	3549.58
14	41	3509.08
17	41	3440.23
20	41	3358.15
23	41	3271.85
26	41	3186.28
29	41	3104.05
32	41	3026.48
35	41	2954.20
38	41	2887.44
41	41	2826.25
44	41	2770.52
47	41	2720.06
50	41	2674.62
53	41	2633.90
56	41	2597.56
59	41	2565.20
62	41	2536.42
65	41	2510.74
68	41	2487.70
71	41	2466.81
74	41	2447.56
77	41	2429.45
80	41	2412.03
83	41	2394.83
86	41	2377.52
89	41	2359.73
92	41	2341.12
95	41	2321.44
98	41	2300.53
101	41	2278.27
5	44	3350.27
8	44	3423.59
11	44	3428.51
14	44	3387.89
17	44	3322.41
20	44	3246.00
23	44	3166.76
26	44	3089.04
29	44	3015.07
32	44	2945.90
35	44	2881.98
38	44	2823.42
41	44	2770.15
44	44	2721.98
47	44	2678.66
50	44	2639.88
53	44	2605.27
56	44	2574.42
59	44	2546.90
62	44	2522.23
65	44	2499.95
68	44	2479.54
71	44	2460.51
74	44	2442.39
77	44	2424.70
80	44	2407.03
83	44	2389.02
86	44	2370.33
89	44	2350.85
92	44	2330.25
95	44	2308.40
98	44	2285.23
101	44	2260.71
5	47	3201.43
8	47	3265.07
11	47	3266.69
14	47	3227.81
17	47	3167.46
20	47	3098.21
23	47	3027.25
26	47	2958.34
29	47	2893.33
32	47	2833.05
35	47	2777.80
38	47	2727.58
41	47	2682.23
44	47	2641.51
47	47	2605.10
50	47	2572.61
53	47	2543.65
56	47	2517.75
59	47	2494.46
62	47	2473.28
65	47	2453.73
68	47	2435.30
71	47	2417.55
74	47	2400.04
77	47	2382.36
80	47	2364.19
83	47	2345.24
86	47	2325.34
89	47	2304.38
92	47	2282.17
95	47	2258.68
98	47	2233.90
101	47	2207.88
5	50	3021.09
8	50	3076.03
11	50	3075.62
14	50	3039.72
17	50	2985.53
20	50	2924.21
23	50	2862.04
26	50	2802.23
29	50	2746.30
32	50	2694.87
35	50	2648.11
38	50	2605.94
41	50	2568.12
44	50	2534.35
47	50	2504.26
50	50	2477.44
53	50	2453.44
56	50	2431.79
